,user_id,month,hour_period,30min sessions,session_group
0,389,Apr,00:00-00:30,0.0,low
1,389,Apr,00:30-01:00,0.0,low
2,389,Apr,01:00-01:30,0.0,low
3,389,Apr,01:30-02:00,0.0,low
4,389,Apr,02:00-02:30,0.0,low
5,389,Apr,02:30-03:00,0.0,low
6,389,Apr,03:00-03:30,0.0,low
7,389,Apr,03:30-04:00,0.0,low
8,389,Apr,04:00-04:30,1.0,mid
9,389,Apr,04:30-05:00,0.0,low
10,389,Apr,05:00-05:30,0.0,low
11,389,Apr,05:30-06:00,0.0,low
12,389,Apr,06:00-06:30,1.0,mid
13,389,Apr,06:30-07:00,5.0,high
14,389,Apr,07:00-07:30,3.0,high
15,389,Apr,07:30-08:00,2.0,high
16,389,Apr,08:00-08:30,4.0,high
17,389,Apr,08:30-09:00,6.0,high
18,389,Apr,09:00-09:30,3.0,high
19,389,Apr,09:30-10:00,3.0,high
20,389,Apr,10:00-10:30,0.0,low
21,389,Apr,10:30-11:00,4.0,high
22,389,Apr,11:00-11:30,3.0,high
23,389,Apr,11:30-12:00,4.0,high
24,389,Apr,12:00-12:30,6.0,high
25,389,Apr,12:30-13:00,3.0,high
26,389,Apr,13:00-13:30,4.0,high
27,389,Apr,13:30-14:00,2.0,high
28,389,Apr,14:00-14:30,4.0,high
29,389,Apr,14:30-15:00,3.0,high
30,389,Apr,15:00-15:30,5.0,high
31,389,Apr,15:30-16:00,3.0,high
32,389,Apr,16:00-16:30,2.0,high
33,389,Apr,16:30-17:00,3.0,high
34,389,Apr,17:00-17:30,4.0,high
35,389,Apr,17:30-18:00,8.0,extreme
36,389,Apr,18:00-18:30,1.0,mid
37,389,Apr,18:30-19:00,6.0,high
38,389,Apr,19:00-19:30,1.0,mid
39,389,Apr,19:30-20:00,3.0,high
40,389,Apr,20:00-20:30,0.0,low
41,389,Apr,20:30-21:00,2.0,high
42,389,Apr,21:00-21:30,1.0,mid
43,389,Apr,21:30-22:00,2.0,high
44,389,Apr,22:00-22:30,2.0,high
45,389,Apr,22:30-23:00,0.0,low
46,389,Apr,23:00-23:30,0.0,low
47,389,Apr,23:30-24:00,0.0,low
48,389,Aug,00:00-00:30,3.0,high
49,389,Aug,00:30-01:00,1.0,mid
50,389,Aug,01:00-01:30,0.0,low
51,389,Aug,01:30-02:00,0.0,low
52,389,Aug,02:00-02:30,0.0,low
53,389,Aug,02:30-03:00,0.0,low
54,389,Aug,03:00-03:30,1.0,mid
55,389,Aug,03:30-04:00,0.0,low
56,389,Aug,04:00-04:30,2.0,high
57,389,Aug,04:30-05:00,2.0,high
58,389,Aug,05:00-05:30,1.0,mid
59,389,Aug,05:30-06:00,0.0,low
60,389,Aug,06:00-06:30,5.0,high
61,389,Aug,06:30-07:00,2.0,high
62,389,Aug,07:00-07:30,3.0,high
63,389,Aug,07:30-08:00,4.0,high
64,389,Aug,08:00-08:30,4.0,high
65,389,Aug,08:30-09:00,6.0,high
66,389,Aug,09:00-09:30,8.0,extreme
67,389,Aug,09:30-10:00,2.0,high
68,389,Aug,10:00-10:30,13.0,extreme
69,389,Aug,10:30-11:00,3.0,high
70,389,Aug,11:00-11:30,6.0,high
71,389,Aug,11:30-12:00,4.0,high
72,389,Aug,12:00-12:30,6.0,high
73,389,Aug,12:30-13:00,4.0,high
74,389,Aug,13:00-13:30,6.0,high
75,389,Aug,13:30-14:00,7.0,extreme
76,389,Aug,14:00-14:30,4.0,high
77,389,Aug,14:30-15:00,7.0,extreme
78,389,Aug,15:00-15:30,12.0,extreme
79,389,Aug,15:30-16:00,7.0,extreme
80,389,Aug,16:00-16:30,9.0,extreme
81,389,Aug,16:30-17:00,3.0,high
82,389,Aug,17:00-17:30,15.0,extreme
83,389,Aug,17:30-18:00,4.0,high
84,389,Aug,18:00-18:30,12.0,extreme
85,389,Aug,18:30-19:00,5.0,high
86,389,Aug,19:00-19:30,8.0,extreme
87,389,Aug,19:30-20:00,9.0,extreme
88,389,Aug,20:00-20:30,5.0,high
89,389,Aug,20:30-21:00,8.0,extreme
90,389,Aug,21:00-21:30,9.0,extreme
91,389,Aug,21:30-22:00,6.0,high
92,389,Aug,22:00-22:30,1.0,mid
93,389,Aug,22:30-23:00,2.0,high
94,389,Aug,23:00-23:30,4.0,high
95,389,Aug,23:30-24:00,3.0,high
96,389,Dec,00:00-00:30,1.0,mid
97,389,Dec,00:30-01:00,1.0,mid
98,389,Dec,01:00-01:30,1.0,mid
99,389,Dec,01:30-02:00,0.0,low
100,389,Dec,02:00-02:30,0.0,low
101,389,Dec,02:30-03:00,0.0,low
102,389,Dec,03:00-03:30,0.0,low
103,389,Dec,03:30-04:00,2.0,high
104,389,Dec,04:00-04:30,2.0,high
105,389,Dec,04:30-05:00,4.0,high
106,389,Dec,05:00-05:30,0.0,low
107,389,Dec,05:30-06:00,1.0,mid
108,389,Dec,06:00-06:30,4.0,high
109,389,Dec,06:30-07:00,1.0,mid
110,389,Dec,07:00-07:30,5.0,high
111,389,Dec,07:30-08:00,4.0,high
112,389,Dec,08:00-08:30,3.0,high
113,389,Dec,08:30-09:00,4.0,high
114,389,Dec,09:00-09:30,10.0,extreme
115,389,Dec,09:30-10:00,2.0,high
116,389,Dec,10:00-10:30,9.0,extreme
117,389,Dec,10:30-11:00,2.0,high
118,389,Dec,11:00-11:30,4.0,high
119,389,Dec,11:30-12:00,8.0,extreme
120,389,Dec,12:00-12:30,5.0,high
